zone,complex,dong,line,ho,floor,excelRow,price,expectedPrice,difference,absDifference,lowFloor,lowPrice,peakFloor,topFloor
2구역,신현대,102,4,1104,11,1414,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,102,4,1204,12,1422,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,102,5,205,2,1343,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,102,5,305,3,1351,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,102,5,405,4,1359,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,102,5,505,5,1367,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,102,5,605,6,1375,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,102,5,705,7,1383,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,102,5,805,8,1391,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,102,5,905,9,1399,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,102,5,1005,10,1407,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
2구역,신현대,102,5,1105,11,1415,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,102,5,1205,12,1423,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,102,6,206,2,1344,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,102,6,306,3,1352,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,102,6,406,4,1360,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,102,6,506,5,1368,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,102,6,606,6,1376,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,102,6,706,7,1384,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,102,6,806,8,1392,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,102,6,906,9,1400,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,102,6,1006,10,1408,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
2구역,신현대,102,6,1106,11,1416,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,102,6,1206,12,1424,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,102,7,207,2,1345,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,102,7,307,3,1353,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,102,7,407,4,1361,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,102,7,507,5,1369,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,102,7,607,6,1377,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,102,7,707,7,1385,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,102,7,807,8,1393,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,102,7,907,9,1401,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,102,7,1007,10,1409,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
2구역,신현대,102,7,1107,11,1417,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,102,7,1207,12,1425,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,102,8,208,2,1346,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,102,8,308,3,1354,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,102,8,408,4,1362,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,102,8,508,5,1370,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,102,8,608,6,1378,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,102,8,708,7,1386,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
