구역,단지명,동,호,원본공시가격_2026_억,순위기준가격_2026_억,저층기준층,최고가격층,최고층,보정기준
2구역,신현대,103,1201,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1202,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1203,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1204,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1205,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1206,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1207,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1208,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,104,101,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,104,102,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,104,103,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,104,104,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,104,105,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,104,106,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,104,201,44.030000,43.490600,1,11,12,12층 10% 보정
2구역,신현대,104,202,44.030000,43.490600,1,11,12,12층 10% 보정
2구역,신현대,104,203,44.030000,43.490600,1,11,12,12층 10% 보정
2구역,신현대,104,204,44.030000,43.490600,1,11,12,12층 10% 보정
2구역,신현대,104,205,44.030000,43.490600,1,11,12,12층 10% 보정
2구역,신현대,104,206,44.030000,43.490600,1,11,12,12층 10% 보정
2구역,신현대,104,301,45.150000,43.921200,1,11,12,12층 10% 보정
2구역,신현대,104,302,45.150000,43.921200,1,11,12,12층 10% 보정
2구역,신현대,104,303,45.150000,43.921200,1,11,12,12층 10% 보정
2구역,신현대,104,304,45.150000,43.921200,1,11,12,12층 10% 보정
2구역,신현대,104,305,45.150000,43.921200,1,11,12,12층 10% 보정
2구역,신현대,104,306,45.150000,43.921200,1,11,12,12층 10% 보정
2구역,신현대,104,401,45.920000,44.351800,1,11,12,12층 10% 보정
2구역,신현대,104,402,45.920000,44.351800,1,11,12,12층 10% 보정
2구역,신현대,104,403,45.920000,44.351800,1,11,12,12층 10% 보정
2구역,신현대,104,404,45.920000,44.351800,1,11,12,12층 10% 보정
2구역,신현대,104,405,45.920000,44.351800,1,11,12,12층 10% 보정
2구역,신현대,104,406,45.920000,44.351800,1,11,12,12층 10% 보정
2구역,신현대,104,501,45.920000,44.782400,1,11,12,12층 10% 보정
2구역,신현대,104,502,45.920000,44.782400,1,11,12,12층 10% 보정
2구역,신현대,104,503,45.920000,44.782400,1,11,12,12층 10% 보정
2구역,신현대,104,504,45.920000,44.782400,1,11,12,12층 10% 보정
2구역,신현대,104,505,45.920000,44.782400,1,11,12,12층 10% 보정
2구역,신현대,104,506,45.920000,44.782400,1,11,12,12층 10% 보정
2구역,신현대,104,601,46.650000,45.213000,1,11,12,12층 10% 보정
2구역,신현대,104,602,46.650000,45.213000,1,11,12,12층 10% 보정
2구역,신현대,104,603,46.650000,45.213000,1,11,12,12층 10% 보정
2구역,신현대,104,604,46.650000,45.213000,1,11,12,12층 10% 보정
2구역,신현대,104,605,46.650000,45.213000,1,11,12,12층 10% 보정
2구역,신현대,104,606,46.650000,45.213000,1,11,12,12층 10% 보정
2구역,신현대,104,701,47.260000,45.643600,1,11,12,12층 10% 보정
2구역,신현대,104,702,47.260000,45.643600,1,11,12,12층 10% 보정
2구역,신현대,104,703,47.260000,45.643600,1,11,12,12층 10% 보정
2구역,신현대,104,704,47.260000,45.643600,1,11,12,12층 10% 보정
2구역,신현대,104,705,47.260000,45.643600,1,11,12,12층 10% 보정
2구역,신현대,104,706,47.260000,45.643600,1,11,12,12층 10% 보정
2구역,신현대,104,801,47.260000,46.074200,1,11,12,12층 10% 보정
2구역,신현대,104,802,47.260000,46.074200,1,11,12,12층 10% 보정
2구역,신현대,104,803,47.260000,46.074200,1,11,12,12층 10% 보정
2구역,신현대,104,804,47.260000,46.074200,1,11,12,12층 10% 보정
2구역,신현대,104,805,47.260000,46.074200,1,11,12,12층 10% 보정
2구역,신현대,104,806,47.260000,46.074200,1,11,12,12층 10% 보정
2구역,신현대,104,901,47.260000,46.504800,1,11,12,12층 10% 보정
2구역,신현대,104,902,47.260000,46.504800,1,11,12,12층 10% 보정
2구역,신현대,104,903,47.260000,46.504800,1,11,12,12층 10% 보정
2구역,신현대,104,904,47.260000,46.504800,1,11,12,12층 10% 보정
2구역,신현대,104,905,47.260000,46.504800,1,11,12,12층 10% 보정
2구역,신현대,104,906,47.260000,46.504800,1,11,12,12층 10% 보정
2구역,신현대,104,1001,47.260000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1002,47.260000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1003,47.260000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1004,47.260000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1005,47.260000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1006,47.260000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1101,47.260000,47.366000,1,11,12,12층 10% 보정
2구역,신현대,104,1102,47.260000,47.366000,1,11,12,12층 10% 보정
2구역,신현대,104,1103,47.260000,47.366000,1,11,12,12층 10% 보정
2구역,신현대,104,1104,47.260000,47.366000,1,11,12,12층 10% 보정
2구역,신현대,104,1105,47.260000,47.366000,1,11,12,12층 10% 보정
2구역,신현대,104,1106,47.260000,47.366000,1,11,12,12층 10% 보정
2구역,신현대,104,1201,46.650000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1202,46.650000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1203,46.650000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1204,46.650000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1205,46.650000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,104,1206,46.650000,46.935400,1,11,12,12층 10% 보정
2구역,신현대,105,101,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,105,102,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,105,103,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,105,104,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,105,105,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,105,106,43.060000,43.060000,1,11,12,12층 10% 보정
2구역,신현대,105,201,44.030000,43.490600,1,11,12,12층 10% 보정
2구역,신현대,105,202,44.030000,43.490600,1,11,12,12층 10% 보정
2구역,신현대,105,203,44.030000,43.490600,1,11,12,12층 10% 보정
